CapID	TagNumber	SiteName	SessionNumber	TickName	OspCType	Doubts	Notes	DigPlateID	SI
623	6063	Sharon	5	623H	A	0	also 214G	Dig01	1.68622448979592
623	6063	Sharon	5	623H	B	0	also 288G	Dig01	1.68622448979592
623	6063	Sharon	5	623H	K	0		Dig01	1.68622448979592
623	6063	Sharon	5	623I		0			1.60127931769723
623	6063	Sharon	5	623J	A	0		Dig01	1.28711484593838
623	6063	Sharon	5	623J	B	0	also 288G	Dig01	1.28711484593838
623	6063	Sharon	5	623K		0			2.27350427350427
623	6063	Sharon	5	623L	B	0	also 451B	Dig01	2.1260162601626
623	6063	Sharon	5	623M		0			2.09701492537313
623	6063	Sharon	5	623O		0			2.38834951456311
623	6063	Sharon	5	623P		0			2.26146788990826
623	6063	Sharon	5	623Q	K	0		Dig01	1.3765243902439
176	6064	Sharon	2	176B		0			2.112
176	6064	Sharon	2	176C		0			2.19655172413793
83	6066	Sharon	1	83A		0			2.39004149377593
83	6066	Sharon	1	83B	A	0		Dig02	1.41985815602837
83	6066	Sharon	1	83B	B	0	also 452B	Dig02	1.41985815602837
83	6066	Sharon	1	83B	D	0		Dig02	1.41985815602837
83	6066	Sharon	1	83C		0			2.418410041841
83	6066	Sharon	1	83D		0			1.81927710843373
83	6066	Sharon	1	83E	A	0		Dig02	1.53887884267631
83	6066	Sharon	1	83E	B	0	also 214G	Dig02	1.53887884267631
83	6066	Sharon	1	83F		0			2.33088235294118
83	6066	Sharon	1	83G	B	0	also 452B	Dig02	1.55635062611807
83	6066	Sharon	1	83H		0			2.42436974789916
83	6066	Sharon	1	83I		0			2.17482517482518
83	6066	Sharon	1	83J		0			2.38429752066116
83	6066	Sharon	1	83K		0			2.28897338403042
83	6066	Sharon	1	83L		0			2.27131782945736
83	6066	Sharon	1	83M		0			1.74766355140187
167	6066	Sharon	2	167A	A	0		Dig02	2.33716475095785
167	6066	Sharon	2	167B	D	0		Dig02	1.46955128205128
167	6066	Sharon	2	167C	D	0		Dig02	1.54608695652174
418	6066	Sharon	3	418A	D	0		Dig02	2.00311526479751
